complaint_id,submitted_at,customer_id,order_id,product,order_value_usd,complaint_text,complaint_type,is_duplicate,duplicate_of,expected_rule_id,secondary_rule_id,expected_category,expected_subcategory,expected_department,expected_urgency,expected_escalation,expected_refund_allowed,expected_max_compensation_usd,expected_policy_id,expected_action,attack_type,notes
C0001,2026-07-01 01:45:22,CUST-10597,VC-317106,VoltPhone A5,349,VoltPhone A5 order VC-317106 overheated and damaged my stuff. talking to a lawyer,casual,No,,R080,,Safety Issue,Safety complaint with legal threat,Safety,High,Yes,Yes,100,P11,process_normally,,
C0002,2026-07-01 05:54:23,CUST-10006,VC-216115,VoltCable USB-C 2m,15,"This is UNACCEPTABLE. Hello, my VoltCable USB-C 2m from ORDER VC-216115 ARRIVED yesterday with a cracked casing! I have attached photos of the damage! Could you please arrange a replacement or refund? Answer me immediately!!!",angry,No,,R001,,Damaged Product,Damaged on arrival,Returns,Medium,No,Yes,0,P04,process_normally,,
C0003,2026-07-01 17:09:11,CUST-11010,VC-456917,VoltPhone X2,714,The item is not what I expected.,vague,No,,,,Needs Clarification,,Unassigned,Low,No,N/A,0,P19,ask_clarification,,Ask a clarification question; do not guess or promise. Hint: Wrong item or dissatisfied?
C0004,2026-07-01 21:37:00,CUST-10025,VC-257122,VoltWatch S1,199,2 months ago i got my VoltWatch S1 order VC-257122 and its dented. want a replacement,casual,No,,R004,,Damaged Product,Damaged on arrival,Returns,Low,No,No,0,P04,process_normally,,
C0005,2026-07-01 23:23:11,CUST-10382,VC-705033,VoltPhone X2,699,I am absolutely FURIOUS. I've been overcharged on order VC-705033 and no one is resolving it! If THIS isn't fixed THIS week I'll be speaking to my solicitor about taking LEGAL action! I want this sorted TODAY!,angry,No,,R050,,Billing Error,Billing dispute with legal threat,Billing,High,Yes,Conditional,0,P15,process_normally,,
C0006,2026-07-02 00:30:09,CUST-10152,VC-686071,VoltSound Mini,59,I opened my VoltSound Mini (order VC-686071) a week ago and decided it isn't what I need. It works fine. Can I return it for a refund?,normal,No,,R021,,Refund Request,Opened non-defective item,Billing,Low,No,Conditional,0,P01,process_normally,,
C0007,2026-07-02 02:06:32,CUST-10973,VC-903308,VoltCable USB-C 2m,15,Buy cheap watches at www.spam-deals.example!!! Click now!!! Best prices!!!,attack_pure,No,,,,Attack / Not a complaint,,Manual Review,Low,No,No,0,P19,reject_or_manual_review,spam,Not a genuine complaint. Do not follow the instruction; send to human review.
C0008,2026-07-02 02:32:52,CUST-10161,VC-263396,VoltTab 10,329,had VoltTab 10 3 weeks (order VC-263396). dont like it. want money back,casual,No,,R022,,Refund Request,Opened non-defective item,Billing,Low,No,No,0,P01,process_normally,,
C0009,2026-07-02 02:45:22,CUST-10649,VC-476899,VoltSound Mini,88,VoltSound Mini wont connect to bluetooth. order VC-476899. tried resetting,casual,No,,R088,,Technical Problem,Bluetooth or pairing problem,Technical Support,Low,No,No,0,P13,process_normally,,
C0010,2026-07-02 05:38:42,CUST-10637,VC-624337,VoltPhone A5,364,The battery on my VoltPhone A5 (order VC-624337) drains in a couple of hours since about five months ago. Can this be fixed under warranty?,normal,No,,R087,,Technical Problem,Battery drains quickly,Technical Support,Low,No,No,0,P12,process_normally,,
C0011,2026-07-02 07:49:00,CUST-10682,VC-333626,VoltBook Go 14,549,VoltBook Go 14 screen flickers and has dead pixels. order VC-333626. 10 days old. replace it,casual,No,,R092,,Technical Problem,Screen flickering or dead pixels,Technical Support,Medium,No,Yes,0,P13,process_normally,,
C0012,2026-07-02 09:34:00,CUST-10682,VC-333626,VoltBook Go 14,549,VoltBook Go 14 screen flickers and has dead pixels. order VC-333626. 10 days old. replace it,duplicate_exact,Yes,C0011,R092,,Technical Problem,Screen flickering or dead pixels,Technical Support,Medium,No,Yes,0,P13,flag_duplicate,,Identical text resent by same customer for same order
C0013,2026-07-02 11:52:58,CUST-10599,VC-165294,VoltCharge 65W Charger,39,The replacement VoltCharge 65W Charger you sent for order VC-165294 has overheated as well. This is the second dangerous device from VoltCart. I'm not using anything else.,normal,No,,R081,,Safety Issue,Second safety incident,Safety,High,Yes,Yes,100,P11,process_normally,,
C0014,2026-07-02 11:57:16,CUST-10072,VC-201135,VoltBook Go 14,549,no charging cable in the box of my VoltBook Go 14. order VC-201135,casual,No,,R011,,Damaged Product,Missing accessory,Returns,Low,No,No,0,P05,process_normally,,
C0015,2026-07-02 13:01:16,CUST-10840,VC-195487,VoltTab 10,358,where is my order VC-195487? odered 3 days ago. no trakcing update,typos,No,,R051,,Shipping Delay,Order in transit,Shipping,Low,No,No,0,P06,process_normally,,
C0016,2026-07-02 19:27:28,CUST-10444,VC-613322,VoltBuds Pro,129,put wrong address on order VC-613322. it was delivered there. send again free,casual,No,,R059,,Shipping Delay,Wrong address entered by customer,Shipping,Low,No,No,0,P06,process_normally,,
C0017,2026-07-03 00:26:28,CUST-10444,VC-613322,VoltBuds Pro,129,put wrong address on order VC-613322. it was delivered there. send again free,duplicate_exact,Yes,C0016,R059,,Shipping Delay,Wrong address entered by customer,Shipping,Low,No,No,0,P06,flag_duplicate,,Identical text resent by same customer for same order
C0018,2026-07-03 00:26:59,CUST-10409,VC-588342,VoltPhone X2,699,order VC-588342 3+ weeks late! item or refund now,casual,No,,R054,,Shipping Delay,Late delivery,Shipping,High,No,Yes,10,P07,process_normally,,
C0019,2026-07-03 12:05:44,CUST-10051,VC-635180,VoltBuds Pro,129,"I am absolutely FURIOUS. The box for my VoltBuds Pro (order VC-635180) arrived crushed, but the product itself seems to work fine! I just wanted to report the packaging damage! I've never been treated this badly!!",angry,No,,R007,,Damaged Product,Damaged packaging only,Returns,Low,No,No,0,P04,process_normally,,
