rule_id,category,subcategory,condition,department,urgency,escalate,refund_allowed,refund_window_days,replacement_allowed,max_compensation_usd,compensation_type,approval_level,proof_required,sla_first_response_hours,sla_resolution_hours,policy_id,related_policy_ids
R001,Damaged Product,Damaged on arrival,"Reported within 7 days of delivery, photos provided",Returns,Medium,No,Yes,30,Yes,0,None,Agent,Yes,8,72,P04,
R002,Damaged Product,Damaged on arrival,"Reported within 7 days of delivery, no photos provided",Returns,Medium,No,Conditional,30,Conditional,0,None,Agent,Yes,8,72,P04,
R003,Damaged Product,Damaged on arrival,"Reported 8 to 30 days after delivery, photos provided",Returns,Medium,No,Yes,30,Conditional,0,None,Agent,Yes,8,72,P04,P01
R004,Damaged Product,Damaged on arrival,Reported more than 30 days after delivery,Returns,Low,No,No,,No,0,None,Agent,No,24,168,P04,
R005,Damaged Product,Cracked screen on arrival,"Reported within 7 days of delivery, photos provided",Returns,Medium,No,Yes,30,Yes,0,None,Agent,Yes,8,72,P04,
R006,Damaged Product,Damage caused by customer,Customer admits dropping or mishandling the device,Returns,Low,No,No,,No,0,None,Agent,No,24,168,P04,P12
R007,Damaged Product,Damaged packaging only,Item works; only the box is damaged,Returns,Low,No,No,,No,0,None,Agent,No,24,168,P04,
R008,Damaged Product,Dead on arrival,"Device does not power on, within 30 days of delivery",Returns,Medium,No,Yes,30,Yes,0,None,Agent,No,8,72,P01,P13
R009,Damaged Product,Wrong item received,Reported within 14 days of delivery,Returns,Medium,No,Yes,30,Yes,5,Store credit,Agent,Yes,8,72,P05,
R010,Damaged Product,Wrong item received,Reported more than 14 days after delivery,Returns,Low,No,Conditional,30,Conditional,0,None,Agent,Yes,24,168,P05,
R011,Damaged Product,Missing accessory,"Charger, cable or case missing, reported within 14 days",Returns,Low,No,No,,Yes,0,None,Agent,No,24,168,P05,
R012,Damaged Product,Missing item in multi-item order,"Item missing from parcel, reported within 14 days",Returns,Medium,No,Conditional,30,Yes,5,Store credit,Agent,Yes,8,72,P05,
R013,Damaged Product,Used or refurbished item sent as new,Signs of prior use on an item sold as new,Returns,Medium,No,Yes,30,Yes,10,Store credit,Agent,Yes,8,72,P05,
R014,Damaged Product,Damaged high-value item,"Damaged on arrival, order value above $1,000",Returns,Medium,Yes,Yes,30,Yes,0,None,Manager,Yes,8,72,P04,P15
R015,Damaged Product,Damaged on arrival,"Customer wants replacement only, photos provided",Returns,Medium,No,Yes,30,Yes,0,None,Agent,Yes,8,72,P17,P04
R016,Damaged Product,Replacement also faulty,Replacement item arrived damaged or faulty,Returns,High,Yes,Yes,30,Conditional,10,Store credit,Agent,Yes,1,24,P17,P15
R017,Damaged Product,Replacement out of stock,"Damaged item, replacement unavailable",Returns,Medium,No,Yes,30,Conditional,0,None,Agent,No,8,72,P17,
R018,Damaged Product,Return label request,"Damaged item, customer asks for a return shipping label",Returns,Low,No,Yes,30,Yes,0,None,Agent,No,24,168,P04,
R019,Refund Request,Standard refund,"Unused item, within 30 days of delivery",Billing,Low,No,Yes,30,No,0,None,Agent,No,24,168,P01,
R020,Refund Request,Standard refund,"Unused item, more than 30 days after delivery",Billing,Low,No,No,,No,0,None,Agent,No,24,168,P01,
